UNIQUE_ID,Overall_Rating,Technical_Skills,Teamwork,Customer_Service,Hire_Again,High_Performer,Protected_Group,Retained,SJ_Most_1,SJ_Least_1,SJ_Time_1,SJ_Most_2,SJ_Least_2,SJ_Time_2,SJ_Most_3,SJ_Least_3,SJ_Time_3,SJ_Most_4,SJ_Least_4,SJ_Time_4,SJ_Most_5,SJ_Least_5,SJ_Time_5,SJ_Most_6,SJ_Least_6,SJ_Time_6,SJ_Most_7,SJ_Least_7,SJ_Time_7,SJ_Most_8,SJ_Least_8,SJ_Time_8,SJ_Most_9,SJ_Least_9,SJ_Time_9,Scenario1_1,Scenario1_2,Scenario1_3,Scenario1_4,Scenario1_5,Scenario1_6,Scenario1_7,Scenario1_8,Scenario1_Time,Scenario2_1,Scenario2_2,Scenario2_3,Scenario2_4,Scenario2_5,Scenario2_6,Scenario2_7,Scenario2_8,Scenario2_Time,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,PScale01_Q1,PScale01_Q2,PScale01_Q3,PScale01_Q4,PScale02_Q1,PScale02_Q2,PScale02_Q3,PScale02_Q4,PScale03_Q1,PScale03_Q2,PScale03_Q3,PScale03_Q4,PScale04_Q1,PScale04_Q2,PScale04_Q3,PScale04_Q4,PScale05_Q1,PScale05_Q2,PScale05_Q3,PScale05_Q4,PScale06_Q1,PScale06_Q2,PScale06_Q3,PScale06_Q4,PScale06_Q5,PScale06_Q6,PScale07_Q1,PScale07_Q2,PScale07_Q3,PScale07_Q4,PScale08_Q1,PScale08_Q2,PScale08_Q3,PScale08_Q4,PScale09_Q1,PScale09_Q2,PScale09_Q3,PScale09_Q4,PScale10_Q1,PScale10_Q2,PScale10_Q3,PScale10_Q4,PScale11_Q1,PScale11_Q2,PScale11_Q3,PScale11_Q4,PScale12_Q1,PScale12_Q2,PScale12_Q3,PScale12_Q4,PScale13_Q1,PScale13_Q2,PScale13_Q3,PScale13_Q4,PScale13_Q5,split
245065893,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1,3,1,65, , , ,1,2,419,1,2,91,2,1,54,3,4,64,1,2,49,1,3,111, , , ,1,1,1,4,1,2,0,4,85,4,0,1,3,3,2,0,3,93,2,1,5,7,1,1,2,1,7,2,1,2,2,4,2,1,2,7,6,1,3,2,2,3,4,2,4,4,1,4,4,4,3,1,2,1,3,4,3,3,3,3,2,4,4,1,1,3,1,1,3,2,2,3,2,3,2,2,1,2,4,3,2,2,3,2,2,1,2,3,2,2,3,4,2,train
244294286,4.0,4.0,4.0,4.0,5.0,1.0,0.0,0,3,2,55,1,2,64,1,4,28,3,2,52,2,4,68,2,4,26,1,4,24,2,4,31,2,4,43,1,1,1,4,1,2,0,4,29,4,0,1,3,3,2,0,3,32,4,4,5,1,2,4,4,7,5,4,1,3,4,3,3,5,4,5,4,1,3,1,2,3,3,1,3,2,2,3,2,2,2,2,2,2,4,4,3,4,3,4,3,3,4,1,1,4,2,1,2,3,2,3,2,4,1,1,2,2,3,3,2,3,4,2,2,2,3,3,2,2,3,3,2,train
240007576,2.0,3.0,3.0,3.0,2.0,0.0,1.0,0,1,3,138,2,3,80,1,3,169,1,3,59,2,4,198,1,2,75,1,4,109,1,3,51,2,4,66,1,1,1,4,1,2,4,0,63,4,0,1,3,3,2,1,3,90,1,3,5,2,2,1,2,6,2,5,1,1,2,2,1,5,1,4,1,1,2,1,2,3,4,1,4,4,4,4,4,4,1,1,4,2,1,1,1,1,4,4,3,4,4,1,1,4,1,1,4,1,4,3,1,4,1,1,1,1,3,4,1,4,1,1,1,1,1,3,1,1,4,2,4,train
245027782,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1,1,4,75,3,2,92,1,3,36,2,4,62,2,3,30,1,4,36,1,2,47,2,4,50,2,4,52,1,1,1,4,1,2,0,4,56,4,0,1,3,3,2,0,3,41,3,4,2,3,1,4,4,1,1,1,1,1,4,3,3,1,4,4,2,1,3,3,4,1,2,2,4,1,4,1,1,1,1,1,4,1,1,3,1,1,4,2,4,3,4,2,1,1,1,1,1,1,1,3,1,4,1,1,3,1,3,3,4,1,1,3,1,2,3,3,3,1,3,4,1,train
245052844,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0,3,4,137,3,4,180,1,3,51,1,2,38,2,4,42,3,1,80,1,2,33,1,4,67,1,4,41,1,1,1,4,1,2,0,4,47,4,0,1,3,3,2,0,3,54,2,1,3,7,1,2,2,1,7,1,1,2,1,2,2,2,7,7,2,1,1,3,3,1,3,2,4,3,3,2,4,3,4,1,2,1,1,3,1,1,2,1,3,4,2,2,1,2,1,1,4,1,3,2,2,4,1,1,2,2,4,2,4,1,1,4,1,2,2,3,1,1,4,3,2,train
245135956,3.0,2.0,3.0,2.0,4.0,0.0,1.0,1,2,1,46,3,1,33,3,4,66,1,2,44,2,4,32,3,4,21,1,3,35,1,4,30,2,4,61,1,1,1,4,1,2,0,4,46,4,0,1,3,3,2,0,3,56,1,3,5,4,1,1,1,6,2,5,1,2,4,1,1,5,1,3,1,1,4,1,1,4,4,1,4,4,1,4,4,4,4,2,2,2,1,1,1,1,3,2,3,4,4,1,1,4,4,1,2,1,2,3,1,4,1,1,1,1,4,4,1,3,1,2,1,1,2,4,1,1,4,3,3,train
245108299,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1,3,4,62,3,4,33,1,2,43,1,3,48,2,4,35,3,4,109,3,4,73,1,4,68,2,3,57,1,1,1,4,1,2,0,4,64,4,0,1,3,3,2,0,3,47,1,5,5,1,2,1,1,6,1,4,1,1,4,1,1,1,2,6,1,1,3,2,2,3,4,1,4,4,1,4,4,4,2,2,3,1,4,3,1,1,4,3,3,4,4,1,1,4,1,1,3,1,2,3,1,4,1,1,1,1,4,4,3,3,3,3,1,1,4,4,1,2,4,4,2,train
245102955,3.0,3.0,3.0,3.0,5.0,0.0,1.0,1,3,1,43,3,1,57,4,3,61,1,2,73,2,1,28,3,4,44,1,3,35,1,3,28,2,3,47,1,1,1,4,1,2,0,4,69,4,0,1,3,3,2,0,3,52,2,3,6,6,1,1,2,1,2,3,1,2,2,1,2,5,2,2,5,1,3,2,4,2,4,1,4,2,4,3,4,2,1,4,4,4,4,3,1,3,3,3,3,4,4,1,2,4,2,4,2,2,3,2,2,3,1,2,2,1,4,3,4,3,1,3,1,1,2,4,1,2,4,3,2,train
245047664,4.0,4.0,3.0,3.0,4.0,0.0,0.0,1,2,4,20,3,2,22,1,4,33,1,2,178,2,4,19,1,4,23,3,4,13,2,4,16,1,4,37,1,1,1,4,1,2,0,4,29,4,0,1,3,3,2,0,3,57,2,4,3,6,2,2,2,5,2,4,1,2,4,2,1,5,2,2,5,1,3,1,1,4,4,4,4,2,2,4,4,4,3,3,4,4,1,1,1,4,4,4,4,4, ,1,1,4,1,1,1,1,2,1,1,4,2,1,1,1,4,4,2,4,4,1,2,1,4,4,1,1,4,4,4,train
245175503,3.5,3.0,3.5,3.5,4.5,0.0,0.0,1,2,1,192,3,4,93,1,3,189,1,2,101,2,4,245,2,4,114,1,2,25,1,4,79,1,4,78,1,1,1,4,1,2,0,4,199,4,0,1,3,3,2,0,3,200,4,3,7,6,1,3,4,1,1,1,1,4,4,3,4,4,7,1,1,1,3,2,2,2,4,2,3,4,2,3,2,3,1,3,3,3,3,4,2,2,3,1,3,3,2,3,2,4,2,2,3,1,3,2,2,3,1,2,2,3,4,4,4,2,2,3,2,2,4,3,2,2,4,3,3,train
245169205,3.0,3.0,4.0,3.0,5.0,0.0,0.0,0,1,4,1,1,4,2,1,4,12,1,4,72,1,4,4,1,4,47,1,4,3,1,4,30,1,3,64,1,1,1,4,1,2,1,4,40,4,0,1,3,3,2,0,3,38,2,4,2,7,2,3,1,4,2,3,1,1,2,3,1,4,1,2,3,1,1,1,4,1,4,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,4,1,1,1,1,1,1,4,4,3,1,4,4,2,train
245190491,3.0,4.0,2.0,3.0,4.0,0.0,0.0,0,2,4,79,3,2,143,1,3,48,1,2,54,2,3,56,2,4,55,1,2,55,1,4,82,2,4,139,1,1,1,4,1,2,0,4,52,4,0,1,3,3,2,0,3,73,2,5,3,7,1,2,3,1,7,1,1,4,2,4,3,4,7,7,2,1,3,1,2,3,3,2,4,3,2,3,1,2,3,2,2,2,2,2,2,1,2,1,3,3,3,2,3,3,2,2,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,train
230472466,3.0,3.0,3.0,3.0,5.0,0.0,1.0,0,1,2,119,3,2,95,1,3,171,1,2,85,2,4,176,2,4,84,3,2,45,2,3,93,4,3,60,0,1,0,0,2,0,0,1,65,4,0,1,3,3,2,0,3,297,2,3,5,1,2,1,1,8,4,7,1,1,4,1,2,5,1,5,4,1,4,1,2,3,4,1,4,4,3,4,3,2,1,2,3,1,4,1,1,1,3,3,3,4,4,1,1,4,1,1,1,3,2,3,1,4,1,1,1,1,4,4,1,4,4,1,1,2,3,4,2,1,4,4,1,train
245140140,3.0,2.0,3.0,4.0,2.0,0.0,0.0,1,1,2,235,1,2,127,1,2,679,1,2,112,2,4,82,2,4,225,1,2,51,2,3,65,1,4,243,1,1,1,4,1,4,0,4,88,4,0,1,3,3,2,0,3,64,2,3,3,1,2,4,1,1,6,2,1,1,2,3,3,5,3,6,5,1,1,4,2,3,4,2,2,4,2,3,2,3,2,3,2,1,1,4,4,1,2,2,3,4,4,1,1,4,1,1,1,4,1,4,1,4,1,1,1,1,4,4,1,2,4,3,1,1,1,4,1,1,4,4,1,train
245097669,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0,2,4,66,3,4,89,4,2,135,3,2,134,2,3,53,3,4,64,1,2,45,2,3,96,4,3,206,1,0,1,4,1,2,0,4,82,4,0,1,3,3,2,0,3,52,2,4,5,6,2,1,1,5,1,4,2,1,4,1,2,5,1,2,1,1,1,1,2,2,4,1,4,4,1,4,3,4,3,1,1,2,4,4,4,4,4,3,1,4,4,1,1,4,1,1,2,3,1,4,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4,1,1,4,3,1,train
245141127,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1,3,1,31,3,2,24,2,1,23,1,3,36,2,3,20,2,4,36,1,3,24,1,4,26,2,4,51,1,1,1,4,1,2,0,4,27,4,0,1,3,3,2,0,3,36,1,4,4,4,2,2,2,1,3,5,1,3,4,2,2,5,2,3,5,1,3,2,1,3,4,1,4,3,3,4,4,3,4,2,1,2,4,3,4,4,2,2,1,4,4,1,3,3,1,1,3,1,3,2,1,3,1,2,1,1,4,4,1,3,2,3,2,1,3,3,3,3,2,2,3,train
243125925,5.0,4.0,5.0,3.0,5.0,1.0,0.0,1,3,1,82,3,2,97,4,1,114,1,2,83,2,1,73,3,1,69,1,4,42,2,3,51,1,3,133,1,1,1,4,1,2,0,4,76,4,0,0,8,3,2,0,3,85,1,3,3,5,2,1,1,6,1,4,1,1,1,1,1,2,1,3,4,1,1,4,4,1,3,1,2,1,2,3,1,1,3,2,2,2,1,1,1,1,2,2,2,2,2,1,2,4,1,1,4,1,4,2,1,4,1,1,1,2,4,2,4,1,1,4,1,2,4,4,2,1,2,1,3,train
245046857,3.0,3.0,4.0,4.0,4.0,0.0,0.0,1,3,1,55,3,2,122,2,3,73,1,3,68,1,4,39,2,4,41,3,2,37,1,4,42,4,3,69,1,1,1,4,1,2,0,4,72,4,0,1,3,3,2,0,3,116,2,3,5,5,1,2,1,5,2,3,1,2,4,2,2,5,2,2,6,1,3,1,2,4,4,1,2,2,1,4,4,4,4,1,1,1,4,4,4,4,4,4,1,4,4,1,1,4,1,1,1,1,3,2,1,4,1,1,1,1,4,4,1,3,3,2,1,1,1,4,2,1,3,4,2,train
245064009,2.0,2.0,3.0,3.0,2.0,0.0,1.0,1,3,1,34,3,1,25,2,4,37,1,4,24,1,3,20,1,4,14,4,3,22,1,2,25,1,4,33,1,1,5,4,1,2,0,4,50,4,0,1,3,3,2,0,3,44,2,1,3,7,1,1,2,1,7,1,1,2,4,2,2,5,2,7,2,1,2,1,2,3,4,1,4,4,1,4,4,4,2,1,2,2,4,3,4,4,3,3,3,4,4,1,1,1,1,1,1,3,2,3,1,3,1,1,1,2,4,4,3,1,3,3,3,1,2,4,1,1,4,4,1,train
244997539,3.0,3.0,3.0,3.5,4.0,0.0,0.0,0,2,4,21,3,2,23,1,4,24,1,3,41,2,4,24,2,4,19,1,2,23,2,3,20,3,4,26,1,1,1,4,1,2,0,4,40,4,0,1,3,3,2,0,3,17,1,3,6,1,2,1,1,4,6,2,1,1,4,2,1,2,1,6,6,2,2,1,1,3,4,1,2,1,2,4,1,1,2,1,3,3,1,1,1,1,3,4,3,4,4,1,1,4,1,1,3,1,2,2,1,4,1,1,1,1,2,3,1,3,1,1,1,1,2,4,1,1,4,4,1,train
245100454,2.0,2.0,2.0,4.0,2.0,0.0,1.0,0,2,1,39,3,2,46,1,3,56,4,3,113,2,1,37,3,4,67,1,4,41,2,3,32,4,2,40,1,1,1,4,1,2,0,4,53,4,0,1,3,3,2,0,3,47,2,3,5,6,1,2,3,1,1,3,1,1,4,1,2,5,2,1,2,2,3,2,1,3,4,1,2,3,1,4,4,4,1,2,3,2,4,4,1,4,3,3,3,4,4,1,2,4,3,1,1,4,2,3,1,4,1,1,1,1,3,4,3,4,3,2,1,1,4,4,2,1,3,3,4,train
245177236,4.0,4.0,4.0,4.0,4.0,1.0,0.0,1,3,4,44,1,2,47,2,3,45,1,2,31,2,4,24,2,4,23,1,4,24,1,4,34,2,4,42,1,1,5,4,1,2,0,4,33,4,0,1,3,3,2,0,3,33,2,4,5,6,2,1,1,1,1,1,1,1,4,2,2,5,7,2,5,1,3,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,4,4,3,4,3,3,4,4,3,1,2,4,1,1,3,1,2,3,1,3,2,2,2,1,3,4,2,3,3,2,3,2,2,2,1,2,4,3,2,train
245116480,4.0,3.0,4.0,3.0,5.0,1.0,0.0,1,3,2,47,3,2,40,1,2,60,2,3,51,2,4,37,2,4,41,1,2,33,1,4,55,1,3,45,1,1,1,4,1,2,0,4,41,4,0,1,3,3,2,0,3,56,2,3,5,4,2,2,2,6,1,4,1,1,4,2,2,5,2,3,6,1,4,1,1,4,4,1,4,4,1,4,1,4,4,1,1,1,4,4,4,4,4,4,4,4,4,1,1,4,1,1,4,1,2,3,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4,1,1,4,4,1,train
126096799,3.0,3.0,3.0,3.0,4.0,0.0,0.0,1,3,4,101,3,4,50,1,2,102,3,2,217,2,3,66,3,1,82,1,4,58,1,3,81,4,3,91,1,1,1,4,1,2,0,4,54,4,0,1,3,3,2,0,3,105,3,2,5,1,2,3,3,7,4,6,1,3,6,3,3,5,3,5,2,2,3,1,1,4,4,1,1,4,1,4,4,1,1,1,2,1,1,1,1,1,4,2,3,4,4,1,1,4,1,1,1,4,1,4,1,4,1,1,1,1,4,4,1,4,4,4,3,4,4,4,1,1,4,3,2,train
244077674,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0,3,2,29,4,2,30,1,2,31,1,2,99,1,3,39,3,4,32,3,2,77,4,3,43,2,4,4208,1,1,1,4,1,2,0,4,22,4,0,1,3,4,2,0,3,36,2,4,3,6,1,1,4,6,2,3,1,3,3,2,3,1,3,2,3,1,2,3,3,2,3,2,3,3,3,3,2,3,3,1,2,2,3,3,3,3,2,2,3,3,3,1,1,4,1,2,2,3,2,3,2,3,1,2,2,1,3,3,4,2,2,3,2,2,3,3,2,1,3,3,3,train
241587033,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1,3,4,23,3,2,30,1,4,43,1,2,29,2,4,33,2,4,30,1,2,25,1,4,22,1,3,37,1,1,1,4,1,2,0,4,41,4,0,1,3,3,2,0,3,63,1,3,5,1,2,1,1,7,4,6,1,1,4,1,1,5,1,5,6,1,3,2,2,3,4,1,4,3,1,4,1,4,2,2,3,2,4,4,1,4,4,4,1,4,4,1,1,4,1,1,2,3,2,4,1,4,1,1,1,1,4,4,1,4,4,2,1,1,3,4,1,1,4,4,1,train
245172884,2.0,2.0,2.0,2.0,4.0,0.0,1.0,0,1,4,118,3,2,38,1,2,36,3,2,94,2,4,40,3,4,95,1,4,36,2,1,38,2,4,103,1,1,1,4,1,2,1,0,71,4,0,1,3,3,2,0,3,68,3,5,5,7,1,1,3,1,7,1,2,3,4,3,3,5,7,7,3,1,2,2,3,1,4,1,4,3,1,3,4,4,4,3,1,1,3,3,3,1,4,4,2,4,4,1,2,3,1,1,3,1,3,1,1,4,1,1,2,1,3,3,4,3,2,4,1,1,4,3,1,1,4,3,2,train
245240099,2.0,2.0,3.0,2.0,2.0,0.0,1.0,0,3,1,50,3,2,50,4,3,48,1,2,47,2,4,31,2,4,35,1,2,29,2,4,36,1,3,39,1,1,1,4,1,2,0,4,74,4,0,1,3,3,2,0,3,81,3,3,4,1,2,2,5,1,6,4,1,2,3,5,2,2,5,4,5,1,1,4,4,1,4,1,4,1,1,2,1,4,1,4,4,4,1,4,1,1,2,4,4,4,2,1,2,4,1,3,2,3,2,3,1,4,1,1,3,3,2,1,4,1,1,4,1,1,4,4,2,2,4,4,4,train
245212936,3.0,3.0,3.0,3.0,4.0,0.0,1.0,0,1,4,53,3,2,58,4,1,120,3,2,89,2,3,77,2,1,52,1,4,36,1,3,61,1,4,79,1,1,1,4,1,2,0,4,61,4,0,1,3,3,3,0,3,91,3,1,3,7,1,3,4,1,7,1,1,2,2,3,3,5,7,7,1,1,2,2,4,2,2,1,4,2,1,4,4,2,1,1,1,1,2,1,1,2,4,4,2,4,3,1,2,2,2,1,3,2,3,2,2,4,2,1,2,2,4,3,2,3,2,2,2,2,3,3,3,2,3,3,2,train
244268979,2.0,3.0,3.0,2.0,2.0,0.0,1.0,1, , , , , , ,1,2,46,3,2,56,2,3,33,3,4,91,3,2,26,2,3,30,4,3,50,1,1,1,4,1,2,0,4,21,4,0,1,3,3,2,0,3,29,2,3,5,1,2,1,2,1,5,7,1,2,4,2,2,5,2,5, ,1,4,1,1,4,4,1,4,4,1,4,3,4,4,1,1,1,4,4,4,4,4,3,2,4,4,1,1,4,1,1,2,1,2,3,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4, , , , , ,train
245116652,3.0,3.0,4.0,4.0,4.0,0.0,1.0,0,3,4,60,3,2,53,1,3,38,1,4,67,2,1,64,2,4,55,4,2,41,2,1,40,4,3,46,1,1,1,4,1,1,0,4,50,4,0,1,3,3,2,0,3,30,1,3,3,4,2,1,1,6,3,3,1,1,4,1,1,5,1,3,1,1,1,1,1,2,4,1,4,3,1,4,4,4,4,1,3,2,4,3,4,4,4,4,1,4,4,1,1,3,1,1,1,3,2,4,1,4,1,1,1,1,4,4,1,1,3,1,3,1,4,4,1,1,4,4,2,train
244968615,4.0,3.0,4.0,4.0,5.0,1.0,0.0,1,3,1,58,3,2,58,4,3,48,4,2,64,2,4,51,2,1,35,1,2,30,1,4,57,2,3,60,1,1,1,4,1,2,0,4,73,4,0,1,3,3,2,0,3,33,2,7,2,3,2,1,4,6,2,5,1,3,4,1,2,5,2,4,5,1,2,2,2,3,4,1,4,4,1,4,4,4,2,3,3,2,2,1,1,3,4,4,2,4,4,1,1,3,1,1,3,2,2,3,1,4,1,1,1,1,4,4,1,3,2,1,3,1,1,4,2,1,4,3,1,train
